Année;Trimestre;﻿Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2021;2;2021-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;502083;428704
2021;2;2021-06-30;Contrat de plus d'un mois;CDI;384263;408266
2021;3;2021-07-31;Contrat de plus d'un mois;CDI;346705;392255
2021;3;2021-08-31;Contrat de plus d'un mois;CDI;311136;392494
2021;3;2021-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;804999;401713
2021;3;2021-09-30;Contrat de plus d'un mois;CDI;618151;390351
2021;4;2021-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;391724;417818
2021;4;2021-10-31;Contrat de plus d'un mois;CDI;477441;408487
2022;1;2022-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;381158;405149
2022;1;2022-01-31;Contrat de plus d'un mois;CDI;507189;409965
2022;2;2022-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;453634;410364
2022;3;2022-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;337256;428770
2022;3;2022-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;835273;408240
2022;4;2022-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;329141;395719
2023;1;2023-01-31;Contrat de plus d'un mois;CDI;536446;429380
2023;1;2023-03-31;Contrat de plus d'un mois;CDI;408840;423659
2023;2;2023-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;436938;390969
2023;2;2023-06-30;Contrat de plus d'un mois;CDI;381361;413721
2023;3;2023-08-31;Contrat de plus d'un mois;CDI;324127;414356
2023;4;2023-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;245478;393324
2024;1;2024-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;349680;383224
2024;1;2024-01-31;Contrat de plus d'un mois;CDI;495349;405186
2024;1;2024-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;238648;385383
2024;1;2024-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;302336;404567
2024;2;2024-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;349687;382933
2024;3;2024-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;625466;392826
2024;3;2024-07-31;Contrat de plus d'un mois;CDI;373770;395769
2024;3;2024-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;836937;385265
2024;3;2024-09-30;Contrat de plus d'un mois;CDI;642631;395181
2024;4;2024-11-30;Contrat de plus d'un mois;CDI;373821;392334
2024;4;2024-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;256194;381426
2024;4;2024-12-31;Contrat de plus d'un mois;CDI;282257;386561
2025;1;2025-01-31;Contrat de plus d'un mois;CDI;468810;393808
2025;1;2025-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;224072;373137
2025;1;2025-02-28;Contrat de plus d'un mois;CDI;337062;388634
2025;1;2025-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;284743;370812
2025;2;2025-04-30;Contrat de plus d'un mois;CDI;403252;414184
2025;2;2025-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;313933;362091
2025;3;2025-07-31;Contrat de plus d'un mois;CDI;383218;423568
2011;1;2011-03-31;Contrat de plus d'un mois;CDI;269218;276503
2011;2;2011-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;316144;351490
2011;3;2011-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;571970;329039
2011;3;2011-08-31;Contrat de plus d'un mois;CDI;218967;288108
2012;2;2012-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;270268;325744
2014;1;2014-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;303403;324928
2014;1;2014-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;200210;325650
2014;4;2014-10-31;Contrat de plus d'un mois;CDI;289724;243872
2014;4;2014-11-30;Contrat de plus d'un mois;CDI;231849;245693
2015;1;2015-01-31;Contrat de plus d'un mois;CDI;314146;249606
2016;1;2016-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;284281;357209
2016;1;2016-03-31;Contrat de plus d'un mois;CDI;256057;269263
2016;2;2016-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;388617;343656
2016;3;2016-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;276368;370473
2016;4;2016-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;306164;355866
2017;1;2017-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;223312;358257
2017;1;2017-02-28;Contrat de plus d'un mois;CDI;257151;291561
2017;1;2017-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;288925;360913
2017;2;2017-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;404395;369166
2017;2;2017-06-30;Contrat de plus d'un mois;CDI;290568;323674
2017;3;2017-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;260044;357392
2017;3;2017-09-30;Contrat de plus d'un mois;CDI;487330;321925
2017;4;2017-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;306058;357139
2018;1;2018-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;223629;360131
2018;1;2018-02-28;Contrat de plus d'un mois;CDI;297587;336075
2018;1;2018-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;293089;377592
2018;2;2018-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;334628;362583
2018;2;2018-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;314898;370352
2018;3;2018-07-31;Contrat de plus d'un mois;CDI;319586;340345
2018;3;2018-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;263283;361488
2019;2;2019-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;354663;379337
2019;2;2019-05-31;Contrat de plus d'un mois;CDI;298721;346761
2019;3;2019-07-31;Contrat de plus d'un mois;CDI;337818;355504
